OMRÅDE;KØN;ALDER;TID;INDHOLD
000;1;19;2016K1;37413
000;1;19;2017K1;37428
000;1;19;2018K1;36675
000;1;19;2019K1;36320
000;1;19;2020K1;36640
000;1;20;2008K1;31662
000;1;20;2009K1;33189
000;1;20;2010K1;34474
000;1;20;2011K1;35744
000;1;20;2012K1;36083
000;1;20;2013K1;37928
000;1;20;2014K1;37627
000;1;20;2015K1;38979
000;1;20;2016K1;39564
000;1;20;2017K1;38239
000;1;20;2018K1;38176
000;1;20;2019K1;37348
000;1;20;2020K1;36827
000;1;21;2008K1;31720
000;1;21;2009K1;32480
000;1;21;2010K1;33892
000;1;21;2011K1;35076
000;1;21;2012K1;36585
000;1;21;2013K1;36674
000;1;21;2014K1;38578
000;1;21;2015K1;38246
000;1;21;2016K1;40044
000;1;21;2017K1;40279
000;1;21;2018K1;38974
000;1;21;2019K1;38759
000;1;21;2020K1;37812
000;1;22;2008K1;31140
000;1;22;2009K1;32566
000;1;22;2010K1;32988
000;1;22;2011K1;34353
000;1;22;2012K1;35546
000;1;22;2013K1;36904
000;1;22;2014K1;37136
000;1;22;2015K1;39039
000;1;22;2016K1;39139
000;1;22;2017K1;40709
000;1;22;2018K1;40766
000;1;22;2019K1;39456
000;1;22;2020K1;39044
000;1;23;2008K1;30313
000;1;23;2009K1;31849
000;1;23;2010K1;33000
000;1;23;2011K1;33480
000;1;23;2012K1;34880
000;1;23;2013K1;36187
000;1;23;2014K1;37492
000;1;23;2015K1;37800
000;1;23;2016K1;40081
000;1;23;2017K1;40061
000;1;23;2018K1;41381
000;1;23;2019K1;41330
000;1;23;2020K1;39767
000;1;24;2008K1;29713
000;1;24;2009K1;30904
000;1;24;2010K1;32064
000;1;24;2011K1;33344
000;1;24;2012K1;33727
000;1;24;2013K1;35357
000;1;24;2014K1;36762
000;1;24;2015K1;38170
000;1;24;2016K1;38770
000;1;24;2017K1;40846
000;1;24;2018K1;40642
000;1;24;2019K1;41754
000;1;24;2020K1;41504
000;1;25;2008K1;30646
000;1;25;2009K1;30247
000;1;25;2010K1;30911
000;1;25;2011K1;32248
000;1;25;2012K1;33477
000;1;25;2013K1;34078
000;1;25;2014K1;35815
000;1;25;2015K1;37229
000;1;25;2016K1;39081
000;1;25;2017K1;39395
000;1;25;2018K1;41297
000;1;25;2019K1;40863
000;1;25;2020K1;41928
000;1;26;2008K1;30393
000;1;26;2009K1;31205
000;1;26;2010K1;30251
000;1;26;2011K1;31189
000;1;26;2012K1;32491
000;1;26;2013K1;33753
000;1;26;2014K1;34438
000;1;26;2015K1;36238
000;1;26;2016K1;37992
000;1;26;2017K1;39611
000;1;26;2018K1;39685
000;1;26;2019K1;41542
000;1;26;2020K1;40937
000;1;27;2008K1;32182
000;1;27;2009K1;30808
000;1;27;2010K1;31251
000;1;27;2011K1;30545
000;1;27;2012K1;31338
000;1;27;2013K1;32718
000;1;27;2014K1;34085
000;1;27;2015K1;34884
000;1;27;2016K1;37034
000;1;27;2017K1;38426
000;1;27;2018K1;39988
000;1;27;2019K1;39898
000;1;27;2020K1;41554
000;1;28;2008K1;32978
000;1;28;2009K1;32617
000;1;28;2010K1;30846
000;1;28;2011K1;31525
000;1;28;2012K1;30566
000;1;28;2013K1;31548
000;1;28;2014K1;33010
000;1;28;2015K1;34479
000;1;28;2016K1;35678
000;1;28;2017K1;37465
000;1;28;2018K1;38737
000;1;28;2019K1;40156
000;1;28;2020K1;39904
000;1;29;2008K1;34179
000;1;29;2009K1;33337
000;1;29;2010K1;32698
000;1;29;2011K1;31041
000;1;29;2012K1;31555
000;1;29;2013K1;30650
000;1;29;2014K1;31851
000;1;29;2015K1;33331
000;1;29;2016K1;35087
000;1;29;2017K1;36085
000;1;29;2018K1;37639
000;1;29;2019K1;38972
000;1;29;2020K1;40085
000;1;30;2008K1;34170
000;1;30;2009K1;34475
000;1;30;2010K1;33363
000;1;30;2011K1;32918
000;1;30;2012K1;31113
000;1;30;2013K1;31684
000;1;30;2014K1;30923
000;1;30;2015K1;32308
000;1;30;2016K1;33978
000;1;30;2017K1;35526
000;1;30;2018K1;36313
000;1;30;2019K1;37768
000;1;30;2020K1;38816
000;1;31;2008K1;35694
000;1;31;2009K1;34414
000;1;31;2010K1;34603
000;1;31;2011K1;33557
000;1;31;2012K1;33014
000;1;31;2013K1;31250
000;1;31;2014K1;31985
000;1;31;2015K1;31384
000;1;31;2016K1;32883
000;1;31;2017K1;34270
000;1;31;2018K1;35720
000;1;31;2019K1;36357
000;1;31;2020K1;37747
000;1;32;2008K1;38401
000;1;32;2009K1;35993
000;1;32;2010K1;34437
000;1;32;2011K1;34664
000;1;32;2012K1;33644
000;1;32;2013K1;33162
000;1;32;2014K1;31534
000;1;32;2015K1;32363
000;1;32;2016K1;31955
000;1;32;2017K1;33238
000;1;32;2018K1;34477
000;1;32;2019K1;35744
000;1;32;2020K1;36217
000;1;33;2008K1;38008
000;1;33;2009K1;38647
000;1;33;2010K1;36046
000;1;33;2011K1;34468
000;1;33;2012K1;34726
000;1;33;2013K1;33751
000;1;33;2014K1;33304
000;1;33;2015K1;31864
000;1;33;2016K1;32842
000;1;33;2017K1;32241
000;1;33;2018K1;33344
000;1;33;2019K1;34553
000;1;33;2020K1;35612
000;1;34;2008K1;38247
000;1;34;2009K1;38158
000;1;34;2010K1;38629
000;1;34;2011K1;36135
000;1;34;2012K1;34541
000;1;34;2013K1;34842
000;1;34;2014K1;34016
000;1;34;2015K1;33607
000;1;34;2016K1;32279
000;1;34;2017K1;33032
000;1;34;2018K1;32373
000;1;34;2019K1;33424
000;1;34;2020K1;34443
000;1;35;2008K1;39811
000;1;35;2009K1;38389
000;1;35;2010K1;38170
000;1;35;2011K1;38704
000;1;35;2012K1;36089
000;1;35;2013K1;34598
000;1;35;2014K1;35012
000;1;35;2015K1;34313
000;1;35;2016K1;34043
000;1;35;2017K1;32517
000;1;35;2018K1;33208
000;1;35;2019K1;32535
000;1;35;2020K1;33311
000;1;36;2008K1;39870
000;1;36;2009K1;39978
000;1;36;2010K1;38407
000;1;36;2011K1;38270
000;1;36;2012K1;38716
000;1;36;2013K1;36142
000;1;36;2014K1;34728
000;1;36;2015K1;35237
000;1;36;2016K1;34660
000;1;36;2017K1;34260
000;1;36;2018K1;32657
000;1;36;2019K1;33355
000;1;36;2020K1;32379
000;1;37;2008K1;38074
000;1;37;2009K1;40010
000;1;37;2010K1;39964
000;1;37;2011K1;38418
000;1;37;2012K1;38261
000;1;37;2013K1;38717
000;1;37;2014K1;36254
000;1;37;2015K1;34979
000;1;37;2016K1;35528
000;1;37;2017K1;34860
000;1;37;2018K1;34281
000;1;37;2019K1;32680
000;1;37;2020K1;33255
000;1;39;2008K1;39833
000;1;39;2009K1;38355
000;1;39;2010K1;38214
000;1;39;2011K1;40057
000;1;39;2012K1;39936
000;1;39;2013K1;38383
000;1;39;2014K1;38402
000;1;39;2015K1;39003
000;1;39;2016K1;36820
000;1;39;2017K1;35341
000;1;39;2018K1;35800
000;1;39;2019K1;35070
000;1;39;2020K1;34359
000;1;40;2008K1;42446
000;1;40;2009K1;39908
000;1;40;2010K1;38326
000;1;40;2011K1;38160
000;1;40;2012K1;39931
000;1;40;2013K1;39925
000;1;40;2014K1;38454
000;1;40;2015K1;38556
000;1;40;2016K1;39242
000;1;40;2017K1;36920
000;1;40;2018K1;35395
000;1;40;2019K1;35825
000;1;40;2020K1;34974
000;1;41;2008K1;45722
000;1;41;2009K1;42519
000;1;41;2010K1;39790
000;1;41;2011K1;38315
000;1;41;2012K1;38143
000;1;41;2013K1;39916
000;1;41;2014K1;39971
000;1;41;2015K1;38565
000;1;41;2016K1;38774
000;1;41;2017K1;39358
000;1;41;2018K1;36982
000;1;41;2019K1;35467
000;1;41;2020K1;35753
000;1;42;2008K1;44144
000;1;42;2009K1;45776
000;1;42;2010K1;42457
000;1;42;2011K1;39756
000;1;42;2012K1;38194
000;1;42;2013K1;38172
000;1;42;2014K1;39928
000;1;42;2015K1;40171
000;1;42;2016K1;38729
000;1;42;2017K1;38916
000;1;42;2018K1;39430
000;1;42;2019K1;36995
000;1;42;2020K1;35440
000;1;43;2008K1;43412
000;1;43;2009K1;44166
000;1;43;2010K1;45694
000;1;43;2011K1;42421
000;1;43;2012K1;39713
000;1;43;2013K1;38172
000;1;43;2014K1;38164
000;1;43;2015K1;40011
000;1;43;2016K1;40334
000;1;43;2017K1;38743
000;1;43;2018K1;38935
000;1;43;2019K1;39463
000;1;43;2020K1;36910
000;1;44;2008K1;42229
000;1;44;2009K1;43449
000;1;44;2010K1;44069
000;1;44;2011K1;45591
000;1;44;2012K1;42302
000;1;44;2013K1;39665
000;1;44;2014K1;38134
000;1;44;2015K1;38187
000;1;44;2016K1;40190
000;1;44;2017K1;40394
000;1;44;2018K1;38777
000;1;44;2019K1;38963
000;1;44;2020K1;39408
000;1;45;2008K1;39985
000;1;45;2009K1;42217
000;1;45;2010K1;43338
000;1;45;2011K1;43975
000;1;45;2012K1;45482
000;1;45;2013K1;42267
000;1;45;2014K1;39667
000;1;45;2015K1;38193
000;1;45;2016K1;38310
000;1;45;2017K1;40220
000;1;45;2018K1;40415
000;1;45;2019K1;38790
000;1;45;2020K1;38932
000;1;46;2008K1;38787
000;1;46;2009K1;39988
000;1;46;2010K1;42126
000;1;46;2011K1;43246
000;1;46;2012K1;43900
000;1;46;2013K1;45376
000;1;46;2014K1;42210
000;1;46;2015K1;39701
000;1;46;2016K1;38288
000;1;46;2017K1;38352
000;1;46;2018K1;40222
000;1;46;2019K1;40416
000;1;46;2020K1;38709
000;1;47;2008K1;38823
000;1;47;2009K1;38723
000;1;47;2010K1;39857
000;1;47;2011K1;42021
000;1;47;2012K1;43053
000;1;47;2013K1;43814
000;1;47;2014K1;45307
000;1;47;2015K1;42190
000;1;47;2016K1;39766
000;1;47;2017K1;38325
000;1;47;2018K1;38291
000;1;47;2019K1;40196
000;1;47;2020K1;40308
000;1;48;2008K1;37140
000;1;48;2009K1;38749
000;1;48;2010K1;38626
000;1;48;2011K1;39724
000;1;48;2012K1;41898
000;1;48;2013K1;42961
000;1;48;2014K1;43704
000;1;48;2015K1;45251
000;1;48;2016K1;42165
000;1;48;2017K1;39766
000;1;48;2018K1;38293
000;1;48;2019K1;38211
000;1;48;2020K1;40095
000;1;49;2008K1;37210
000;1;49;2009K1;37033
000;1;49;2010K1;38600
000;1;49;2011K1;38480
000;1;49;2012K1;39559
000;1;49;2013K1;41768
000;1;49;2014K1;42827
000;1;49;2015K1;43687
000;1;49;2016K1;45296
000;1;49;2017K1;42144
000;1;49;2018K1;39705
000;1;49;2019K1;38225
000;1;49;2020K1;38101
000;1;50;2008K1;36930
000;1;50;2009K1;37062
000;1;50;2010K1;36822
000;1;50;2011K1;38441
000;1;50;2012K1;38316
000;1;50;2013K1;39383
000;1;50;2014K1;41615
000;1;50;2015K1;42752
000;1;50;2016K1;43661
000;1;50;2017K1;45246
000;1;50;2018K1;42104
000;1;50;2019K1;39650
000;1;50;2020K1;38111
000;1;51;2008K1;37129
000;1;51;2009K1;36789
000;1;51;2010K1;36885
000;1;51;2011K1;36653
000;1;51;2012K1;38266
000;1;51;2013K1;38174
000;1;51;2014K1;39247
000;1;51;2015K1;41509
000;1;51;2016K1;42697
000;1;51;2017K1;43561
000;1;51;2018K1;45140
000;1;51;2019K1;42011
000;1;51;2020K1;39539
000;1;52;2008K1;36677
000;1;52;2009K1;36994
000;1;52;2010K1;36609
000;1;52;2011K1;36712
000;1;52;2012K1;36475
000;1;52;2013K1;38105
000;1;52;2014K1;38022
000;1;52;2015K1;39126
000;1;52;2016K1;41366
000;1;52;2017K1;42595
000;1;52;2018K1;43458
000;1;52;2019K1;45003
000;1;52;2020K1;41893
000;1;53;2008K1;35542
000;1;53;2009K1;36515
000;1;53;2010K1;36760
000;1;53;2011K1;36379
000;1;53;2012K1;36513
000;1;53;2013K1;36328
000;1;53;2014K1;37941
000;1;53;2015K1;37885
000;1;53;2016K1;38996
000;1;53;2017K1;41312
000;1;53;2018K1;42473
000;1;53;2019K1;43327
000;1;53;2020K1;44836
000;1;54;2008K1;36198
000;1;54;2009K1;35362
000;1;54;2010K1;36271
000;1;54;2011K1;36519
000;1;54;2012K1;36151
000;1;54;2013K1;36344
000;1;54;2014K1;36097
000;1;54;2015K1;37828
000;1;54;2016K1;37722
000;1;54;2017K1;38867
000;1;54;2018K1;41188
000;1;54;2019K1;42302
000;1;54;2020K1;43154
000;1;55;2008K1;35297
000;1;55;2009K1;35966
000;1;55;2010K1;35072
000;1;55;2011K1;36005
000;1;55;2012K1;36277
000;1;55;2013K1;35939
000;1;55;2014K1;36179
000;1;55;2015K1;35913
000;1;55;2016K1;37697
000;1;55;2017K1;37559
000;1;55;2018K1;38673
000;1;55;2019K1;41012
000;1;55;2020K1;42118
000;1;56;2008K1;34825
000;1;56;2009K1;35090
000;1;56;2010K1;35671
000;1;56;2011K1;34798
000;1;56;2012K1;35723
000;1;56;2013K1;36002
000;1;56;2014K1;35747
000;1;56;2015K1;35968
000;1;56;2016K1;35776
000;1;56;2017K1;37488
000;1;56;2018K1;37343
000;1;56;2019K1;38510
000;1;56;2020K1;40823
000;1;57;2008K1;35340
000;1;57;2009K1;34588
000;1;57;2010K1;34822
000;1;57;2011K1;35366
000;1;57;2012K1;34542
000;1;57;2013K1;35446
000;1;57;2014K1;35739
000;1;57;2015K1;35530
000;1;57;2016K1;35783
000;1;57;2017K1;35523
000;1;57;2018K1;37267
000;1;57;2019K1;37135
000;1;57;2020K1;38273
000;1;58;2008K1;35056
000;1;58;2009K1;35079
000;1;58;2010K1;34285
000;1;58;2011K1;34546
000;1;58;2012K1;35085
000;1;58;2013K1;34255
000;1;58;2014K1;35196
000;1;58;2015K1;35477
000;1;58;2016K1;35285
000;1;58;2017K1;35569
000;1;58;2018K1;35279
000;1;58;2019K1;36986
000;1;58;2020K1;36902
000;1;59;2008K1;36890
000;1;59;2009K1;34760
000;1;59;2010K1;34769
000;1;59;2011K1;33944
000;1;59;2012K1;34229
000;1;59;2013K1;34821
000;1;59;2014K1;33947
000;1;59;2015K1;34927
000;1;59;2016K1;35250
000;1;59;2017K1;35041
000;1;59;2018K1;35292
000;1;59;2019K1;35028
000;1;59;2020K1;36703
000;1;60;2008K1;38982
000;1;60;2009K1;36538
000;1;60;2010K1;34416
000;1;60;2011K1;34427
000;1;60;2012K1;33644
000;1;60;2013K1;33880
000;1;60;2014K1;34463
000;1;60;2015K1;33666
000;1;60;2016K1;34648
000;1;60;2017K1;34955
000;1;60;2018K1;34759
000;1;60;2019K1;35017
000;1;60;2020K1;34730
000;1;61;2008K1;40313
000;1;61;2009K1;38570
000;1;61;2010K1;36093
000;1;61;2011K1;34010
000;1;61;2012K1;34068
000;1;61;2013K1;33298
000;1;61;2014K1;33521
000;1;61;2015K1;34098
000;1;61;2016K1;33301
000;1;61;2017K1;34328
000;1;61;2018K1;34641
000;1;61;2019K1;34499
000;1;61;2020K1;34694
000;1;62;2008K1;38560
000;1;62;2009K1;39787
000;1;62;2010K1;38138
000;1;62;2011K1;35646
000;1;62;2012K1;33644
000;1;62;2013K1;33688
000;1;62;2014K1;32956
000;1;62;2015K1;33199
000;1;62;2016K1;33757
000;1;62;2017K1;32993
000;1;62;2018K1;33997
000;1;62;2019K1;34320
000;1;62;2020K1;34149
000;1;63;2008K1;36117
000;1;63;2009K1;38066
000;1;63;2010K1;39284
000;1;63;2011K1;37642
000;1;63;2012K1;35214
000;1;63;2013K1;33238
000;1;63;2014K1;33307
000;1;63;2015K1;32584
000;1;63;2016K1;32844
000;1;63;2017K1;33418
000;1;63;2018K1;32641
000;1;63;2019K1;33589
000;1;63;2020K1;33927
000;1;64;2008K1;32600
000;1;64;2009K1;35585
000;1;64;2010K1;37527
000;1;64;2011K1;38741
000;1;64;2012K1;37175
000;1;64;2013K1;34812
000;1;64;2014K1;32810
000;1;64;2015K1;32869
000;1;64;2016K1;32216
000;1;64;2017K1;32439
000;1;64;2018K1;33043
000;1;64;2019K1;32247
000;1;64;2020K1;33161
000;1;65;2008K1;30543
000;1;65;2009K1;32043
000;1;65;2010K1;35030
000;1;65;2011K1;37023
000;1;65;2012K1;38193
000;1;65;2013K1;36693
000;1;65;2014K1;34386
000;1;65;2015K1;32402
000;1;65;2016K1;32451
000;1;65;2017K1;31760
000;1;65;2018K1;32027
000;1;65;2019K1;32642
000;1;65;2020K1;31825
000;1;66;2008K1;26640
000;1;66;2009K1;30013
000;1;66;2010K1;31517
000;1;66;2011K1;34421
000;1;66;2012K1;36403
000;1;66;2013K1;37621
000;1;66;2014K1;36172
000;1;66;2015K1;33917
000;1;66;2016K1;31925
000;1;66;2017K1;31961
000;1;66;2018K1;31310
000;1;66;2019K1;31561
000;1;66;2020K1;32169
000;1;67;2008K1;25473
000;1;67;2009K1;26109
000;1;67;2010K1;29466
000;1;67;2011K1;30981
000;1;67;2012K1;33802
000;1;67;2013K1;35774
000;1;67;2014K1;36987
000;1;67;2015K1;35633
000;1;67;2016K1;33428
000;1;67;2017K1;31388
000;1;67;2018K1;31509
000;1;67;2019K1;30842
000;1;67;2020K1;31049
000;1;68;2008K1;23993
000;1;68;2009K1;24940
000;1;68;2010K1;25602
000;1;68;2011K1;28891
000;1;68;2012K1;30394
000;1;68;2013K1;33179
000;1;68;2014K1;35173
000;1;68;2015K1;36364
000;1;68;2016K1;35062
000;1;68;2017K1;32876
000;1;68;2018K1;30873
000;1;68;2019K1;30960
000;1;68;2020K1;30315
000;1;69;2008K1;23211
000;1;69;2009K1;23476
000;1;69;2010K1;24414
000;1;69;2011K1;25059
000;1;69;2012K1;28298
000;1;69;2013K1;29795
000;1;69;2014K1;32531
000;1;69;2015K1;34492
000;1;69;2016K1;35707
000;1;69;2017K1;34429
000;1;69;2018K1;32304
000;1;69;2019K1;30266
000;1;69;2020K1;30376
000;1;70;2008K1;21586
000;1;70;2009K1;22652
000;1;70;2010K1;22933
000;1;70;2011K1;23895
000;1;70;2012K1;24537
000;1;70;2013K1;27667
000;1;70;2014K1;29138
000;1;70;2015K1;31864
000;1;70;2016K1;33824
000;1;70;2017K1;35060
000;1;70;2018K1;33731
000;1;70;2019K1;31655
000;1;70;2020K1;29697
000;1;71;2008K1;20516
000;1;71;2009K1;20987
000;1;71;2010K1;22037
000;1;71;2011K1;22336
000;1;71;2012K1;23319
000;1;71;2013K1;23947
000;1;71;2014K1;27030
000;1;71;2015K1;28481
000;1;71;2016K1;31159
000;1;71;2017K1;33076
000;1;71;2018K1;34378
000;1;71;2019K1;33006
000;1;71;2020K1;30993
000;1;72;2008K1;18944
000;1;72;2009K1;19878
000;1;72;2010K1;20401
000;1;72;2011K1;21389
000;1;72;2012K1;21675
000;1;72;2013K1;22713
000;1;72;2014K1;23390
000;1;72;2015K1;26417
000;1;72;2016K1;27816
000;1;72;2017K1;30385
000;1;72;2018K1;32307
000;1;72;2019K1;33641
000;1;72;2020K1;32285
000;1;73;2008K1;17834
000;1;73;2009K1;18315
000;1;73;2010K1;19250
000;1;73;2011K1;19718
000;1;73;2012K1;20742
000;1;73;2013K1;21019
000;1;73;2014K1;22054
000;1;73;2015K1;22743
000;1;73;2016K1;25698
000;1;73;2017K1;27124
000;1;73;2018K1;29580
000;1;73;2019K1;31494
000;1;73;2020K1;32812
000;1;74;2008K1;16450
000;1;74;2009K1;17192
000;1;74;2010K1;17659
000;1;74;2011K1;18537
000;1;74;2012K1;19065
000;1;74;2013K1;20088
000;1;74;2014K1;20373
000;1;74;2015K1;21426
000;1;74;2016K1;22101
000;1;74;2017K1;24974
000;1;74;2018K1;26334
000;1;74;2019K1;28731
000;1;74;2020K1;30676
000;1;75;2008K1;15393
000;1;75;2009K1;15807
000;1;75;2010K1;16478
000;1;75;2011K1;16961
000;1;75;2012K1;17879
000;1;75;2013K1;18412
000;1;75;2014K1;19443
000;1;75;2015K1;19723
000;1;75;2016K1;20700
000;1;75;2017K1;21395
000;1;75;2018K1;24196
000;1;75;2019K1;25475
000;1;75;2020K1;27805
000;1;76;2008K1;14537
000;1;76;2009K1;14700
000;1;76;2010K1;15085
000;1;76;2011K1;15770
000;1;76;2012K1;16249
000;1;76;2013K1;17154
000;1;76;2014K1;17766
000;1;76;2015K1;18758
000;1;76;2016K1;19074
000;1;76;2017K1;19991
000;1;76;2018K1;20673
000;1;76;2019K1;23351
000;1;76;2020K1;24623
000;1;77;2008K1;13773
000;1;77;2009K1;13782
000;1;77;2010K1;13990
000;1;77;2011K1;14385
000;1;77;2012K1;14999
000;1;77;2013K1;15525
000;1;77;2014K1;16446
000;1;77;2015K1;17074
