CIVILSTAND,TID,ALDER,INDHOLD
I alt,2008K1,84 år,20064
I alt,2008K1,85 år,17654
I alt,2008K1,86 år,16871
I alt,2008K1,87 år,15026
I alt,2008K1,88 år,11375
I alt,2008K1,89 år,10038
I alt,2008K1,90 år,8117
I alt,2008K1,91 år,6863
I alt,2008K1,92 år,5322
I alt,2008K1,93 år,4478
I alt,2008K1,94 år,3337
I alt,2008K1,95 år,2563
I alt,2008K1,96 år,1774
I alt,2008K1,97 år,1312
I alt,2008K1,98 år,840
I alt,2008K1,99 år,543
I alt,2008K1,100 år,288
I alt,2008K1,101 år,193
I alt,2008K1,102 år,121
I alt,2008K1,103 år,64
I alt,2008K1,104 år,35
I alt,2008K1,105 år,19
I alt,2008K1,106 år,10
I alt,2008K1,107 år,0
I alt,2008K1,108 år,1
I alt,2008K1,109 år,0
I alt,2008K1,110 år,0
I alt,2008K1,111 år,0
I alt,2008K1,112 år,0
I alt,2008K1,113 år,0
I alt,2008K1,114 år,0
I alt,2008K1,115 år,0
I alt,2008K1,116 år,0
I alt,2008K1,117 år,0
I alt,2008K1,118 år,0
I alt,2008K1,119 år,0
I alt,2008K1,120 år,0
I alt,2008K1,121 år,0
I alt,2008K1,122 år,0
I alt,2008K1,123 år,0
I alt,2008K1,124 år,0
I alt,2008K1,125 år,0
I alt,2008K2,I alt,5482266
I alt,2008K2,0 år,64832
I alt,2008K2,1 år,65569
I alt,2008K2,2 år,64945
I alt,2008K2,3 år,65125
I alt,2008K2,4 år,65752
I alt,2008K2,5 år,64397
I alt,2008K2,6 år,65374
I alt,2008K2,7 år,67541
I alt,2008K2,8 år,67016
I alt,2008K2,9 år,67250
I alt,2008K2,10 år,68167
I alt,2008K2,11 år,69140
I alt,2008K2,12 år,71129
I alt,2008K2,13 år,72882
I alt,2008K2,14 år,69658
I alt,2008K2,15 år,70643
I alt,2008K2,16 år,68448
I alt,2008K2,17 år,67558
I alt,2008K2,18 år,66039
I alt,2008K2,19 år,63883
I alt,2008K2,20 år,62668
I alt,2008K2,21 år,62673
I alt,2008K2,22 år,61968
I alt,2008K2,23 år,60019
I alt,2008K2,24 år,59498
I alt,2008K2,25 år,60062
I alt,2008K2,26 år,61170
I alt,2008K2,27 år,63047
I alt,2008K2,28 år,65855
I alt,2008K2,29 år,68016
I alt,2008K2,30 år,67754
I alt,2008K2,31 år,69570
I alt,2008K2,32 år,75976
I alt,2008K2,33 år,76105
I alt,2008K2,34 år,75937
I alt,2008K2,35 år,78802
I alt,2008K2,36 år,79743
I alt,2008K2,37 år,76026
I alt,2008K2,38 år,74694
I alt,2008K2,39 år,77064
I alt,2008K2,40 år,82086
I alt,2008K2,41 år,89286
I alt,2008K2,42 år,87820
I alt,2008K2,43 år,85145
I alt,2008K2,44 år,84276
I alt,2008K2,45 år,79350
I alt,2008K2,46 år,77553
I alt,2008K2,47 år,76534
I alt,2008K2,48 år,73893
I alt,2008K2,49 år,73607
I alt,2008K2,50 år,73521
I alt,2008K2,51 år,73258
I alt,2008K2,52 år,72850
I alt,2008K2,53 år,71349
I alt,2008K2,54 år,71570
I alt,2008K2,55 år,71296
I alt,2008K2,56 år,68912
I alt,2008K2,57 år,70495
I alt,2008K2,58 år,70740
I alt,2008K2,59 år,72533
I alt,2008K2,60 år,76635
I alt,2008K2,61 år,79822
I alt,2008K2,62 år,78083
I alt,2008K2,63 år,73661
I alt,2008K2,64 år,68376
I alt,2008K2,65 år,62971
I alt,2008K2,66 år,55821
I alt,2008K2,67 år,51776
I alt,2008K2,68 år,50638
I alt,2008K2,69 år,47962
I alt,2008K2,70 år,46690
I alt,2008K2,71 år,43467
I alt,2008K2,72 år,40570
I alt,2008K2,73 år,38808
I alt,2008K2,74 år,36582
I alt,2008K2,75 år,34109
I alt,2008K2,76 år,33051
I alt,2008K2,77 år,31581
I alt,2008K2,78 år,29520
I alt,2008K2,79 år,28816
I alt,2008K2,80 år,26700
I alt,2008K2,81 år,25375
I alt,2008K2,82 år,23729
I alt,2008K2,83 år,22293
I alt,2008K2,84 år,20015
I alt,2008K2,85 år,17644
I alt,2008K2,86 år,16805
I alt,2008K2,87 år,14696
I alt,2008K2,88 år,12327
I alt,2008K2,89 år,9771
I alt,2008K2,90 år,8196
I alt,2008K2,91 år,6790
I alt,2008K2,92 år,5334
I alt,2008K2,93 år,4435
I alt,2008K2,94 år,3375
I alt,2008K2,95 år,2518
I alt,2008K2,96 år,1795
I alt,2008K2,97 år,1266
I alt,2008K2,98 år,880
I alt,2008K2,99 år,534
I alt,2008K2,100 år,350
I alt,2008K2,101 år,181
I alt,2008K2,102 år,113
I alt,2008K2,103 år,70
I alt,2008K2,104 år,36
I alt,2008K2,105 år,17
I alt,2008K2,106 år,10
I alt,2008K2,107 år,2
I alt,2008K2,108 år,1
I alt,2008K2,109 år,0
I alt,2008K2,110 år,0
I alt,2008K2,111 år,0
I alt,2008K2,112 år,0
I alt,2008K2,113 år,0
I alt,2008K2,114 år,0
I alt,2008K2,115 år,0
I alt,2008K2,116 år,0
I alt,2008K2,117 år,0
I alt,2008K2,118 år,0
I alt,2008K2,119 år,0
I alt,2008K2,120 år,0
I alt,2008K2,121 år,0
I alt,2008K2,122 år,0
I alt,2008K2,123 år,0
I alt,2008K2,124 år,0
I alt,2008K2,125 år,0
I alt,2008K3,I alt,5489022
I alt,2008K3,0 år,65098
I alt,2008K3,1 år,64959
I alt,2008K3,2 år,65321
I alt,2008K3,3 år,65363
I alt,2008K3,4 år,65756
I alt,2008K3,5 år,64407
I alt,2008K3,6 år,65007
I alt,2008K3,7 år,67077
I alt,2008K3,8 år,67112
I alt,2008K3,9 år,67814
I alt,2008K3,10 år,67192
I alt,2008K3,11 år,69776
I alt,2008K3,12 år,70263
I alt,2008K3,13 år,72388
I alt,2008K3,14 år,70460
I alt,2008K3,15 år,70520
I alt,2008K3,16 år,68814
I alt,2008K3,17 år,68019
I alt,2008K3,18 år,66296
I alt,2008K3,19 år,64616
I alt,2008K3,20 år,62455
I alt,2008K3,21 år,62433
I alt,2008K3,22 år,62096
I alt,2008K3,23 år,60642
I alt,2008K3,24 år,60032
I alt,2008K3,25 år,59617
I alt,2008K3,26 år,61422
I alt,2008K3,27 år,61980
I alt,2008K3,28 år,65553
I alt,2008K3,29 år,67339
I alt,2008K3,30 år,68592
I alt,2008K3,31 år,68728
I alt,2008K3,32 år,74643
I alt,2008K3,33 år,76789
I alt,2008K3,34 år,75658
I alt,2008K3,35 år,77402
I alt,2008K3,36 år,80595
I alt,2008K3,37 år,76913
I alt,2008K3,38 år,74883
I alt,2008K3,39 år,76177
I alt,2008K3,40 år,80873
I alt,2008K3,41 år,88183
I alt,2008K3,42 år,88617
I alt,2008K3,43 år,85922
I alt,2008K3,44 år,84154
I alt,2008K3,45 år,80571
I alt,2008K3,46 år,78430
I alt,2008K3,47 år,76264
I alt,2008K3,48 år,74944
I alt,2008K3,49 år,73005
I alt,2008K3,50 år,73865
I alt,2008K3,51 år,73380
I alt,2008K3,52 år,72654
I alt,2008K3,53 år,71741
I alt,2008K3,54 år,71005
I alt,2008K3,55 år,72000
I alt,2008K3,56 år,68942
I alt,2008K3,57 år,69807
I alt,2008K3,58 år,70854
I alt,2008K3,59 år,71701
I alt,2008K3,60 år,74741
I alt,2008K3,61 år,79267
I alt,2008K3,62 år,79443
I alt,2008K3,63 år,74831
I alt,2008K3,64 år,69484
I alt,2008K3,65 år,63702
I alt,2008K3,66 år,57659
I alt,2008K3,67 år,52342
I alt,2008K3,68 år,50770
I alt,2008K3,69 år,48117
I alt,2008K3,70 år,46795
I alt,2008K3,71 år,44049
I alt,2008K3,72 år,41236
I alt,2008K3,73 år,39223
I alt,2008K3,74 år,37014
I alt,2008K3,75 år,34087
I alt,2008K3,76 år,33129
I alt,2008K3,77 år,31435
I alt,2008K3,78 år,29777
I alt,2008K3,79 år,28750
I alt,2008K3,80 år,26685
I alt,2008K3,81 år,25424
I alt,2008K3,82 år,23777
I alt,2008K3,83 år,22260
I alt,2008K3,84 år,20099
I alt,2008K3,85 år,17798
I alt,2008K3,86 år,16580
I alt,2008K3,87 år,14738
I alt,2008K3,88 år,13116
I alt,2008K3,89 år,9509
I alt,2008K3,90 år,8238
I alt,2008K3,91 år,6787
I alt,2008K3,92 år,5516
I alt,2008K3,93 år,4318
I alt,2008K3,94 år,3427
I alt,2008K3,95 år,2493
I alt,2008K3,96 år,1819
I alt,2008K3,97 år,1232
I alt,2008K3,98 år,915
I alt,2008K3,99 år,539
I alt,2008K3,100 år,356
I alt,2008K3,101 år,176
I alt,2008K3,102 år,115
I alt,2008K3,103 år,69
I alt,2008K3,104 år,37
I alt,2008K3,105 år,16
I alt,2008K3,106 år,9
I alt,2008K3,107 år,3
I alt,2008K3,108 år,1
I alt,2008K3,109 år,0
I alt,2008K3,110 år,0
I alt,2008K3,111 år,0
I alt,2008K3,112 år,0
I alt,2008K3,113 år,0
I alt,2008K3,114 år,0
I alt,2008K3,115 år,0
I alt,2008K3,116 år,0
I alt,2008K3,117 år,0
I alt,2008K3,118 år,0
I alt,2008K3,119 år,0
I alt,2008K3,120 år,0
I alt,2008K3,121 år,0
I alt,2008K3,122 år,0
I alt,2008K3,123 år,0
I alt,2008K3,124 år,0
I alt,2008K3,125 år,0
I alt,2008K4,I alt,5505995
I alt,2008K4,0 år,65538
I alt,2008K4,1 år,64570
I alt,2008K4,2 år,65826
I alt,2008K4,3 år,65426
I alt,2008K4,4 år,65288
I alt,2008K4,5 år,65118
I alt,2008K4,6 år,64981
I alt,2008K4,7 år,66667
I alt,2008K4,8 år,67064
I alt,2008K4,9 år,67397
I alt,2008K4,10 år,67212
I alt,2008K4,11 år,70181
I alt,2008K4,12 år,69277
I alt,2008K4,13 år,72946
I alt,2008K4,14 år,70635
I alt,2008K4,15 år,70630
I alt,2008K4,16 år,70165
I alt,2008K4,17 år,67990
I alt,2008K4,18 år,67166
I alt,2008K4,19 år,65700
I alt,2008K4,20 år,64418
I alt,2008K4,21 år,63463
I alt,2008K4,22 år,63237
I alt,2008K4,23 år,62007
I alt,2008K4,24 år,60733
I alt,2008K4,25 år,60067
I alt,2008K4,26 år,61302
I alt,2008K4,27 år,61935
I alt,2008K4,28 år,65576
I alt,2008K4,29 år,66787
I alt,2008K4,30 år,69157
I alt,2008K4,31 år,68172
I alt,2008K4,32 år,73033
I alt,2008K4,33 år,77272
I alt,2008K4,34 år,76024
I alt,2008K4,35 år,76655
I alt,2008K4,36 år,80559
I alt,2008K4,37 år,77991
I alt,2008K4,38 år,75308
I alt,2008K4,39 år,75942
I alt,2008K4,40 år,79470
I alt,2008K4,41 år,86204
I alt,2008K4,42 år,89219
I alt,2008K4,43 år,86784
I alt,2008K4,44 år,84581
I alt,2008K4,45 år,81734
I alt,2008K4,46 år,79030
I alt,2008K4,47 år,76217
I alt,2008K4,48 år,75904
I alt,2008K4,49 år,73831
I alt,2008K4,50 år,73057
I alt,2008K4,51 år,73074
I alt,2008K4,52 år,73255
I alt,2008K4,53 år,72054
I alt,2008K4,54 år,70762
I alt,2008K4,55 år,72526
I alt,2008K4,56 år,69500
I alt,2008K4,57 år,68903
I alt,2008K4,58 år,70863
I alt,2008K4,59 år,70625
I alt,2008K4,60 år,73677
I alt,2008K4,61 år,78490
I alt,2008K4,62 år,79736
I alt,2008K4,63 år,75579
I alt,2008K4,64 år,70694
I alt,2008K4,65 år,64316
I alt,2008K4,66 år,59501
I alt,2008K4,67 år,52961
I alt,2008K4,68 år,51405
I alt,2008K4,69 år,48386
I alt,2008K4,70 år,47168
I alt,2008K4,71 år,44202
I alt,2008K4,72 år,41649
I alt,2008K4,73 år,39724
I alt,2008K4,74 år,36944
I alt,2008K4,75 år,34361
I alt,2008K4,76 år,33128
I alt,2008K4,77 år,31679
I alt,2008K4,78 år,29723
I alt,2008K4,79 år,28658
I alt,2008K4,80 år,26865
I alt,2008K4,81 år,25446
I alt,2008K4,82 år,23685
I alt,2008K4,83 år,22275
I alt,2008K4,84 år,20194
I alt,2008K4,85 år,18006
I alt,2008K4,86 år,16404
I alt,2008K4,87 år,14835
I alt,2008K4,88 år,13554
I alt,2008K4,89 år,9398
I alt,2008K4,90 år,8369
I alt,2008K4,91 år,6784
I alt,2008K4,92 år,5538
I alt,2008K4,93 år,4285
I alt,2008K4,94 år,3486
I alt,2008K4,95 år,2497
I alt,2008K4,96 år,1854
I alt,2008K4,97 år,1247
I alt,2008K4,98 år,926
I alt,2008K4,99 år,554
I alt,2008K4,100 år,366
I alt,2008K4,101 år,190
I alt,2008K4,102 år,105
I alt,2008K4,103 år,71
I alt,2008K4,104 år,40
I alt,2008K4,105 år,19
I alt,2008K4,106 år,8
I alt,2008K4,107 år,5
I alt,2008K4,108 år,0
I alt,2008K4,109 år,0
I alt,2008K4,110 år,0
I alt,2008K4,111 år,0
I alt,2008K4,112 år,0
I alt,2008K4,113 år,0
I alt,2008K4,114 år,0
I alt,2008K4,115 år,0
I alt,2008K4,116 år,0
I alt,2008K4,117 år,0
I alt,2008K4,118 år,0
I alt,2008K4,119 år,0
I alt,2008K4,120 år,0
I alt,2008K4,121 år,0
I alt,2008K4,122 år,0
I alt,2008K4,123 år,0
I alt,2008K4,124 år,0
I alt,2008K4,125 år,0
I alt,2009K1,I alt,5511451
I alt,2009K1,0 år,65304
I alt,2009K1,1 år,64890
I alt,2009K1,2 år,66062
I alt,2009K1,3 år,65251
I alt,2009K1,4 år,65425
I alt,2009K1,5 år,65439
I alt,2009K1,6 år,64839
I alt,2009K1,7 år,65950
I alt,2009K1,8 år,67766
I alt,2009K1,9 år,67081
I alt,2009K1,10 år,67422
I alt,2009K1,11 år,68983
I alt,2009K1,12 år,69410
I alt,2009K1,13 år,71922
I alt,2009K1,14 år,72342
I alt,2009K1,15 år,70083
I alt,2009K1,16 år,70993
I alt,2009K1,17 år,68043
I alt,2009K1,18 år,67633
I alt,2009K1,19 år,66175
I alt,2009K1,20 år,64794
I alt,2009K1,21 år,63414
I alt,2009K1,22 år,63704
I alt,2009K1,23 år,62761
I alt,2009K1,24 år,61022
I alt,2009K1,25 år,60138
I alt,2009K1,26 år,61702
I alt,2009K1,27 år,61471
I alt,2009K1,28 år,65245
I alt,2009K1,29 år,66567
I alt,2009K1,30 år,68760
I alt,2009K1,31 år,68499
I alt,2009K1,32 år,71276
I alt,2009K1,33 år,77328
I alt,2009K1,34 år,76216
I alt,2009K1,35 år,76356
I alt,2009K1,36 år,79719
I alt,2009K1,37 år,78891
I alt,2009K1,38 år,75699
I alt,2009K1,39 år,75562
I alt,2009K1,40 år,78292
I alt,2009K1,41 år,83834
I alt,2009K1,42 år,90014
I alt,2009K1,43 år,87080
I alt,2009K1,44 år,85172
I alt,2009K1,45 år,83363
I alt,2009K1,46 år,78825
I alt,2009K1,47 år,76605
I alt,2009K1,48 år,76528
I alt,2009K1,49 år,73414
I alt,2009K1,50 år,73480
I alt,2009K1,51 år,73008
I alt,2009K1,52 år,73471
I alt,2009K1,53 år,72354
I alt,2009K1,54 år,70797
I alt,2009K1,55 år,71795
I alt,2009K1,56 år,70214
I alt,2009K1,57 år,68850
I alt,2009K1,58 år,70646
I alt,2009K1,59 år,70014
I alt,2009K1,60 år,73251
I alt,2009K1,61 år,77429
I alt,2009K1,62 år,79467
I alt,2009K1,63 år,76192
I alt,2009K1,64 år,71723
I alt,2009K1,65 år,65409
I alt,2009K1,66 år,60998
I alt,2009K1,67 år,53639
I alt,2009K1,68 år,51542
I alt,2009K1,69 år,48480
I alt,2009K1,70 år,47331
I alt,2009K1,71 år,44762
I alt,2009K1,72 år,42201
I alt,2009K1,73 år,39374
I alt,2009K1,74 år,37421
I alt,2009K1,75 år,34688
I alt,2009K1,76 år,33237
I alt,2009K1,77 år,31351
I alt,2009K1,78 år,29967
I alt,2009K1,79 år,28240
I alt,2009K1,80 år,27327
I alt,2009K1,81 år,24880
I alt,2009K1,82 år,23744
I alt,2009K1,83 år,22058
I alt,2009K1,84 år,20391
I alt,2009K1,85 år,18263
I alt,2009K1,86 år,15861
I alt,2009K1,87 år,14981
I alt,2009K1,88 år,13192
I alt,2009K1,89 år,9804
I alt,2009K1,90 år,8453
I alt,2009K1,91 år,6703
I alt,2009K1,92 år,5605
I alt,2009K1,93 år,4188
I alt,2009K1,94 år,3464
I alt,2009K1,95 år,2486
I alt,2009K1,96 år,1897
I alt,2009K1,97 år,1264
I alt,2009K1,98 år,910
I alt,2009K1,99 år,575
I alt,2009K1,100 år,365
I alt,2009K1,101 år,193
I alt,2009K1,102 år,111
I alt,2009K1,103 år,69
I alt,2009K1,104 år,40
I alt,2009K1,105 år,20
I alt,2009K1,106 år,8
I alt,2009K1,107 år,4
I alt,2009K1,108 år,0
I alt,2009K1,109 år,0
I alt,2009K1,110 år,0
I alt,2009K1,111 år,0
I alt,2009K1,112 år,0
I alt,2009K1,113 år,0
I alt,2009K1,114 år,0
I alt,2009K1,115 år,0
I alt,2009K1,116 år,0
I alt,2009K1,117 år,0
I alt,2009K1,118 år,0
I alt,2009K1,119 år,0
I alt,2009K1,120 år,0
I alt,2009K1,121 år,0
I alt,2009K1,122 år,0
I alt,2009K1,123 år,0
I alt,2009K1,124 år,0
I alt,2009K1,125 år,0
I alt,2009K2,I alt,5515287
I alt,2009K2,0 år,64980
I alt,2009K2,1 år,65320
I alt,2009K2,2 år,65832
I alt,2009K2,3 år,65183
I alt,2009K2,4 år,65314
I alt,2009K2,5 år,65921
I alt,2009K2,6 år,64502
I alt,2009K2,7 år,65473
I alt,2009K2,8 år,67586
I alt,2009K2,9 år,67160
I alt,2009K2,10 år,67385
I alt,2009K2,11 år,68319
I alt,2009K2,12 år,69240
I alt,2009K2,13 år,71268
I alt,2009K2,14 år,73087
I alt,2009K2,15 år,69854
I alt,2009K2,16 år,71078
I alt,2009K2,17 år,68910
I alt,2009K2,18 år,67745
I alt,2009K2,19 år,66839
I alt,2009K2,20 år,65749
I alt,2009K2,21 år,64615
I alt,2009K2,22 år,64145
I alt,2009K2,23 år,63289
I alt,2009K2,24 år,61137
I alt,2009K2,25 år,60573
I alt,2009K2,26 år,60953
I alt,2009K2,27 år,61980
I alt,2009K2,28 år,63697
I alt,2009K2,29 år,66583
I alt,2009K2,30 år,68454
I alt,2009K2,31 år,68140
I alt,2009K2,32 år,70060
I alt,2009K2,33 år,76330
I alt,2009K2,34 år,76402
I alt,2009K2,35 år,76255
I alt,2009K2,36 år,79034
I alt,2009K2,37 år,80045
I alt,2009K2,38 år,76267
I alt,2009K2,39 år,74920
I alt,2009K2,40 år,77218
I alt,2009K2,41 år,82253
I alt,2009K2,42 år,89341
I alt,2009K2,43 år,87858
I alt,2009K2,44 år,85209
I alt,2009K2,45 år,84295
I alt,2009K2,46 år,79351
I alt,2009K2,47 år,77483
I alt,2009K2,48 år,76445
I alt,2009K2,49 år,73743
I alt,2009K2,50 år,73415
I alt,2009K2,51 år,73321
I alt,2009K2,52 år,73025
I alt,2009K2,53 år,72567
I alt,2009K2,54 år,71066
I alt,2009K2,55 år,71197
I alt,2009K2,56 år,70919
I alt,2009K2,57 år,68517
I alt,2009K2,58 år,70083
I alt,2009K2,59 år,70233
I alt,2009K2,60 år,71961
I alt,2009K2,61 år,75920
I alt,2009K2,62 år,79072
I alt,2009K2,63 år,77221
I alt,2009K2,64 år,72809
I alt,2009K2,65 år,67491
I alt,2009K2,66 år,62030
I alt,2009K2,67 år,54962
I alt,2009K2,68 år,50906
I alt,2009K2,69 år,49696
I alt,2009K2,70 år,46963
I alt,2009K2,71 år,45648
I alt,2009K2,72 år,42376
I alt,2009K2,73 år,39439
I alt,2009K2,74 år,37609
I alt,2009K2,75 år,35329
I alt,2009K2,76 år,32825
I alt,2009K2,77 år,31645
I alt,2009K2,78 år,30033
I alt,2009K2,79 år,27986
I alt,2009K2,80 år,27207
I alt,2009K2,81 år,25046
I alt,2009K2,82 år,23611
I alt,2009K2,83 år,21958
I alt,2009K2,84 år,20374
I alt,2009K2,85 år,18115
I alt,2009K2,86 år,15781
I alt,2009K2,87 år,14879
I alt,2009K2,88 år,12782
I alt,2009K2,89 år,10600
I alt,2009K2,90 år,8178
I alt,2009K2,91 år,6725
I alt,2009K2,92 år,5470
I alt,2009K2,93 år,4171
I alt,2009K2,94 år,3430
I alt,2009K2,95 år,2504
I alt,2009K2,96 år,1816
I alt,2009K2,97 år,1281
I alt,2009K2,98 år,858
I alt,2009K2,99 år,588
I alt,2009K2,100 år,364
I alt,2009K2,101 år,220
I alt,2009K2,102 år,103
I alt,2009K2,103 år,71
I alt,2009K2,104 år,42
I alt,2009K2,105 år,18
I alt,2009K2,106 år,6
I alt,2009K2,107 år,4
I alt,2009K2,108 år,1
I alt,2009K2,109 år,0
I alt,2009K2,110 år,0
I alt,2009K2,111 år,0
I alt,2009K2,112 år,0
I alt,2009K2,113 år,0
I alt,2009K2,114 år,0
I alt,2009K2,115 år,0
I alt,2009K2,116 år,0
I alt,2009K2,117 år,0
I alt,2009K2,118 år,0
I alt,2009K2,119 år,0
I alt,2009K2,120 år,0
I alt,2009K2,121 år,0
I alt,2009K2,122 år,0
I alt,2009K2,123 år,0
I alt,2009K2,124 år,0
I alt,2009K2,125 år,0
I alt,2009K3,I alt,5519441
I alt,2009K3,0 år,64696
I alt,2009K3,1 år,65638
I alt,2009K3,2 år,65221
I alt,2009K3,3 år,65581
I alt,2009K3,4 år,65515
I alt,2009K3,5 år,65915
I alt,2009K3,6 år,64540
I alt,2009K3,7 år,65084
I alt,2009K3,8 år,67107
I alt,2009K3,9 år,67223
I alt,2009K3,10 år,67959
I alt,2009K3,11 år,67333
I alt,2009K3,12 år,69865
I alt,2009K3,13 år,70399
I alt,2009K3,14 år,72563
I alt,2009K3,15 år,70661
I alt,2009K3,16 år,70862
I alt,2009K3,17 år,69209
I alt,2009K3,18 år,68260
I alt,2009K3,19 år,66871
I alt,2009K3,20 år,65972
I alt,2009K3,21 år,64130
I alt,2009K3,22 år,63980
I alt,2009K3,23 år,63426
I alt,2009K3,24 år,61648
I alt,2009K3,25 år,60854
I alt,2009K3,26 år,60432
I alt,2009K3,27 år,62072
I alt,2009K3,28 år,62542
I alt,2009K3,29 år,66182
I alt,2009K3,30 år,67798
I alt,2009K3,31 år,68975
I alt,2009K3,32 år,69033
I alt,2009K3,33 år,75052
I alt,2009K3,34 år,77075
I alt,2009K3,35 år,75880
I alt,2009K3,36 år,77593
I alt,2009K3,37 år,80788
I alt,2009K3,38 år,77157
I alt,2009K3,39 år,75085
I alt,2009K3,40 år,76276
I alt,2009K3,41 år,80926
I alt,2009K3,42 år,88221
I alt,2009K3,43 år,88648
I alt,2009K3,44 år,85971
I alt,2009K3,45 år,84160
I alt,2009K3,46 år,80579
I alt,2009K3,47 år,78370
I alt,2009K3,48 år,76133
I alt,2009K3,49 år,74781
I alt,2009K3,50 år,72820
I alt,2009K3,51 år,73691
I alt,2009K3,52 år,73141
I alt,2009K3,53 år,72343
I alt,2009K3,54 år,71430
I alt,2009K3,55 år,70651
I alt,2009K3,56 år,71586
I alt,2009K3,57 år,68544
I alt,2009K3,58 år,69376
I alt,2009K3,59 år,70354
I alt,2009K3,60 år,71125
I alt,2009K3,61 år,74047
I alt,2009K3,62 år,78560
I alt,2009K3,63 år,78582
I alt,2009K3,64 år,73966
I alt,2009K3,65 år,68632
I alt,2009K3,66 år,62787
I alt,2009K3,67 år,56737
I alt,2009K3,68 år,51517
I alt,2009K3,69 år,49852
I alt,2009K3,70 år,47146
I alt,2009K3,71 år,45785
I alt,2009K3,72 år,42977
I alt,2009K3,73 år,40112
I alt,2009K3,74 år,38073
I alt,2009K3,75 år,35764
I alt,2009K3,76 år,32807
I alt,2009K3,77 år,31718
I alt,2009K3,78 år,29940
I alt,2009K3,79 år,28200
I alt,2009K3,80 år,27083
I alt,2009K3,81 år,25016
I alt,2009K3,82 år,23680
I alt,2009K3,83 år,21948
I alt,2009K3,84 år,20397
I alt,2009K3,85 år,18205
I alt,2009K3,86 år,15978
I alt,2009K3,87 år,14645
I alt,2009K3,88 år,12846
I alt,2009K3,89 år,11274
I alt,2009K3,90 år,7956
I alt,2009K3,91 år,6754
I alt,2009K3,92 år,5491
I alt,2009K3,93 år,4373
I alt,2009K3,94 år,3330
I alt,2009K3,95 år,2535
I alt,2009K3,96 år,1829
I alt,2009K3,97 år,1285
I alt,2009K3,98 år,862
I alt,2009K3,99 år,604
I alt,2009K3,100 år,372
I alt,2009K3,101 år,234
I alt,2009K3,102 år,92
I alt,2009K3,103 år,73
I alt,2009K3,104 år,42
I alt,2009K3,105 år,22
I alt,2009K3,106 år,5
I alt,2009K3,107 år,4
I alt,2009K3,108 år,2
I alt,2009K3,109 år,0
I alt,2009K3,110 år,0
I alt,2009K3,111 år,0
I alt,2009K3,112 år,0
I alt,2009K3,113 år,0
I alt,2009K3,114 år,0
I alt,2009K3,115 år,0
I alt,2009K3,116 år,0
I alt,2009K3,117 år,0
I alt,2009K3,118 år,0
I alt,2009K3,119 år,0
